user_id,question,user_answer,correct_answer,is_correct,timestamp
3,"What is 'dog' in Spanish?","Gato","Perro",0,"2025-01-25 09:15"
3,"What is 'cat' in Spanish?","Gata","Gato",0,"2025-01-25 09:30"
3,"What is 'dog' in Spanish?","Perra","Perro",0,"2025-01-27 10:00"
3,"What is 'dog' in Spanish?","Perro","Perro",1,"2025-01-29 08:45"
3,"What is 'cat' in Spanish?","Gato","Gato",1,"2025-01-29 09:00"
3,"What is 'table' in Spanish?","Silla","Mesa",0,"2025-02-02 11:20"
3,"What is 'table' in Spanish?","Mesa","Mesa",1,"2025-02-03 14:10"
3,"What is 'red' in Spanish?","Rojo","Rojo",1,"2025-02-05 09:00"
3,"What is 'blue' in Spanish?","Rojo","Azul",0,"2025-02-10 10:45"
3,"What is 'blue' in Spanish?","Azul","Azul",1,"2025-02-12 15:30"
3,"What is 'green' in Spanish?","Verde","Verde",1,"2025-02-13 09:00"
3,"What is 'yellow' in Spanish?","Amarilla","Amarillo",0,"2025-02-14 10:15"
3,"What is 'yellow' in Spanish?","Amarillo","Amarillo",1,"2025-02-14 10:30"
3,"What is 'chair' in Spanish?","Silla","Silla",1,"2025-02-15 08:00"
3,"What is 'bed' in Spanish?","Mesa","Cama",0,"2025-02-16 09:30"
3,"What is 'bed' in Spanish?","Cama","Cama",1,"2025-02-17 14:00"
3,"Translate 'I love pizza' in Spanish","Me encanta pizza","Me encanta la pizza",0,"2025-02-18 12:00"
3,"Translate 'I love pizza' in Spanish","Me encanta la pizza","Me encanta la pizza",1,"2025-02-18 13:00"
3,"Translate 'I like to eat apples' in Spanish","Me gusta comer manzanas","Me gusta comer manzanas",1,"2025-02-19 10:45"
3,"What is 'juice' in Spanish?","Jugo","Jugo",1,"2025-02-21 09:15"

1,"What is 'dog' in Spanish?","Perro","Perro",1,"2025-01-26 10:00"
1,"What is 'red' in Spanish?","Rojo","Rojo",1,"2025-01-28 09:45"
1,"How do you say 'I am learning Spanish' in Spanish?","Estoy aprendiendo español","Estoy aprendiendo español",1,"2025-01-30 14:00"
1,"Translate 'We are going to the beach' in Spanish","Vamos a la playa","Vamos a la playa",1,"2025-02-01 08:30"
1,"Translate 'He works very hard' in Spanish","El trabaja muy duro","Él trabaja muy duro",1,"2025-02-03 09:00"
1,"Translate 'I like to read books' in Spanish","Me gusta leer libros","Me gusta leer libros",1,"2025-02-05 13:15"
1,"Translate 'I like to read books' in Spanish","Me gusta leer libros","Me gusta leer libros",1,"2025-02-07 08:00"
1,"How do you say 'I am learning Spanish' in Spanish?","Estoy apriendo español","Estoy aprendiendo español",0,"2025-02-09 10:30"
1,"Translate 'He works very hard' in Spanish","El trabaja muy duro","Él trabaja muy duro",1,"2025-02-11 15:00"
1,"Translate 'We are going to the beach' in Spanish","Nosotros vamos a la playa","Vamos a la playa",0,"2025-02-15 16:45"
1,"Translate 'We study Spanish every day' in Spanish","Estudiamos español todos los dias","Estudiamos español todos los días",0,"2025-02-17 09:00"
1,"Translate 'We study Spanish every day' in Spanish","Estudiamos español todos los días","Estudiamos español todos los días",1,"2025-02-17 09:15"
1,"Translate 'He needs to practice more grammar' in Spanish","Él necesita practicar más gramática","Él necesita practicar más gramática",1,"2025-02-17 14:20"
1,"Translate 'They are cooking dinner right now' in Spanish","Están cocinando la cena ahora mismo","Están cocinando la cena ahora mismo",1,"2025-02-18 08:30"
1,"Translate 'We visited Spain last year' in Spanish","Visitamos España el año pasado","Visitamos España el año pasado",1,"2025-02-18 09:00"
1,"Translate 'My sister is reading a book' in Spanish","Mi hermana está leyendo un libro","Mi hermana está leyendo un libro",1,"2025-02-19 12:10"
1,"Translate 'My sister is reading a book' in Spanish","Mi hermana es leyendo un libro","Mi hermana está leyendo un libro",0,"2025-02-19 12:15"
1,"Translate 'We have been practicing Spanish for two months' in Spanish","Hemos estado practicando español por dos meses","Hemos estado practicando español durante dos meses",0,"2025-02-20 10:00"
1,"Translate 'We have been practicing Spanish for two months' in Spanish","Hemos estado practicando español durante dos meses","Hemos estado practicando español durante dos meses",1,"2025-02-20 10:10"
1,"Translate 'He needs to practice more grammar' in Spanish","Él necesita practicar más gramática","Él necesita practicar más gramática",1,"2025-02-21 11:30"

2,"What is 'cat' in Spanish?","Gato","Gato",1,"2025-01-27 11:00"
2,"What is 'house' in Spanish?","Casa","Casa",1,"2025-01-29 09:15"
2,"How do you say 'I am learning Spanish' in Spanish?","Estoy aprendiendo español","Estoy aprendiendo español",1,"2025-01-31 08:45"
2,"Translate 'I like to read books' in Spanish","Me encanta leer libros","Me gusta leer libros",0,"2025-02-02 10:00"
2,"Translate 'I like to read books' in Spanish","Me gusta leer libros","Me gusta leer libros",1,"2025-02-04 09:30"
2,"Translate 'We are going to the beach' in Spanish","Vamos a la playa","Vamos a la playa",1,"2025-02-06 14:00"
2,"How do you say 'I am learning Spanish' in Spanish?","Estoy apriendo espanol","Estoy aprendiendo español",0,"2025-02-08 16:20"
2,"Translate 'He works very hard' in Spanish","Él trabaja muy duro","Él trabaja muy duro",1,"2025-02-10 08:50"
2,"Translate 'We are going to the beach' in Spanish","Vamos a la playa","Vamos a la playa",1,"2025-02-12 14:30"
2,"Translate 'He works very hard' in Spanish","El trabaja muy duro","Él trabaja muy duro",0,"2025-02-16 10:15"
2,"Translate 'My mother is a teacher' in Spanish","Mi madre es maestra","Mi madre es maestra",1,"2025-02-17 08:00"
2,"Translate 'We are learning new vocabulary' in Spanish","Estamos aprendiendo vocabulario nuevo","Estamos aprendiendo vocabulario nuevo",1,"2025-02-17 09:30"
2,"Translate 'We are learning new vocabulary' in Spanish","Estamos aprendiendo nuevo vocabulario","Estamos aprendiendo vocabulario nuevo",0,"2025-02-17 09:45"
2,"Translate 'They are traveling to Mexico next month' in Spanish","Ellos van a viajar a México el próximo mes","Ellos viajarán a México el próximo mes",0,"2025-02-18 10:00"
2,"Translate 'They are traveling to Mexico next month' in Spanish","Ellos viajarán a México el próximo mes","Ellos viajarán a México el próximo mes",1,"2025-02-18 10:15"
2,"Translate 'He needs more practice with conjugations' in Spanish","Él necesita más práctica con las conjugaciones","Él necesita más práctica con las conjugaciones",1,"2025-02-19 11:00"
2,"Translate 'We are cooking dinner at home tonight' in Spanish","Estamos cocinando la cena en casa esta noche","Estamos cocinando la cena en casa esta noche",1,"2025-02-19 11:15"
2,"Translate 'I hope to improve my Spanish soon' in Spanish","Espero mejorar mi español pronto","Espero mejorar mi español pronto",1,"2025-02-20 14:00"
2,"Translate 'We will see each other tomorrow' in Spanish","Nos veremos mañana","Nos veremos mañana",1,"2025-02-20 15:30"
2,"Translate 'He needs more practice with conjugations' in Spanish","Él necesita mas practica con conjugaciones","Él necesita más práctica con las conjugaciones",0,"2025-02-21 09:00"

4,"What is 'dog' in Spanish?","Perro","Perro",1,"2025-01-28 11:30"
4,"What is 'cat' in Spanish?","Gato","Gato",1,"2025-01-30 10:00"
4,"Translate 'He works very hard' in Spanish","Él trabaja muy duro","Él trabaja muy duro",1,"2025-02-01 12:15"
4,"Translate 'We are going to the beach' in Spanish","Vamos a la playa","Vamos a la playa",1,"2025-02-03 09:40"
4,"Translate 'The complexity of language acquisition cannot be underestimated' in Spanish","La complejidad de la adquisición del lenguaje no puede subestimarse","La complejidad de la adquisición del lenguaje no puede subestimarse",1,"2025-02-05 14:10"
4,"Translate 'Although I am tired, I will continue to study diligently' in Spanish","Aunque estoy cansada, continuaré estudiando diligentemente","Aunque estoy cansado/a, continuaré estudiando diligentemente",1,"2025-02-07 16:45"
4,"Translate 'You should consider exploring idiomatic expressions to enhance your fluency' in Spanish","Deberías considerar explorar expresiones idiomáticas para mejorar tu fluidez","Deberías considerar explorar expresiones idiomáticas para mejorar tu fluidez",1,"2025-02-09 08:50"
4,"Translate 'Although I am tired, I will continue to study diligently' in Spanish","Aunque estoy cansado, continuaré estudiando diligentemente","Aunque estoy cansado/a, continuaré estudiando diligentemente",1,"2025-02-11 10:05"
4,"Translate 'The complexity of language acquisition cannot be underestimated' in Spanish","La complejidad de la adquisición de idiomas no puede subestimarse","La complejidad de la adquisición del lenguaje no puede subestimarse",0,"2025-02-14 15:25"
4,"Translate 'You should consider exploring idiomatic expressions to enhance your fluency' in Spanish","Debes pensar en buscar expresiones idiomaticas para mejorar tu fluidez","Deberías considerar explorar expresiones idiomáticas para mejorar tu fluidez",0,"2025-02-18 17:00"
4,"Translate 'Mastering subjunctive mood is a challenging aspect of Spanish' in Spanish","Dominar el modo subjuntivo es un aspecto desafiante del español","Dominar el modo subjuntivo es un aspecto desafiante del español",1,"2025-02-17 10:45"
4,"Translate 'Mastering subjunctive mood is a challenging aspect of Spanish' in Spanish","Dominar el subjuntivo es un aspecto retador del idioma","Dominar el modo subjuntivo es un aspecto desafiante del español",0,"2025-02-17 10:50"
4,"Translate 'If I had known, I would have prepared differently' in Spanish","Si hubiera sabido, me habría preparado de otra manera","Si hubiera sabido, me habría preparado de otra manera",1,"2025-02-18 09:20"
4,"Translate 'It is crucial to immerse yourself in the language for true fluency' in Spanish","Es fundamental sumergirse en el idioma para lograr la verdadera fluidez","Es fundamental sumergirse en el idioma para lograr la verdadera fluidez",1,"2025-02-18 10:10"
4,"Translate 'Conjugating irregular verbs accurately is essential' in Spanish","Conjugar correctamente los verbos irregulares es esencial","Conjugar correctamente los verbos irregulares es esencial",1,"2025-02-19 11:40"
4,"Translate 'Understanding regional dialects can broaden your perspective' in Spanish","Entender los dialectos regionales puede ampliar tu perspectiva","Entender los dialectos regionales puede ampliar tu perspectiva",1,"2025-02-19 14:05"
4,"Translate 'Although advanced, you should still review basic concepts occasionally' in Spanish","Aunque seas avanzado, aún deberías repasar conceptos básicos de vez en cuando","Aunque seas avanzado, deberías repasar conceptos básicos de vez en cuando",1,"2025-02-20 09:00"
4,"Translate 'I want to refine my pronunciation to achieve native-like fluency' in Spanish","Quiero refinar mi pronunciación para alcanzar una fluidez casi nativa","Quiero refinar mi pronunciación para lograr una fluidez cercana a la de un nativo",0,"2025-02-20 10:30"
4,"Translate 'I want to refine my pronunciation to achieve native-like fluency' in Spanish","Quiero refinar mi pronunciación para lograr una fluidez cercana a la de un nativo","Quiero refinar mi pronunciación para lograr una fluidez cercana a la de un nativo",1,"2025-02-20 10:35"
4,"Translate 'Mastering idiomatic expressions can help you sound more natural' in Spanish","Dominar las expresiones idiomáticas puede ayudarte a sonar más natural","Dominar las expresiones idiomáticas puede ayudarte a sonar más natural",1,"2025-02-21 16:00"
